Question;Option A;Option B;Option C;Difficulty;Correct Answer
What is the largest organ in the human body?;Heart;Skin;Liver;1;B
What is the basic unit of life?;Atom;Cell;Tissue;1;B
Which vitamin is produced when the skin is exposed to sunlight?;Vitamin C;Vitamin D;Vitamin B12;1;B
What is the common name for the clavicle?;Kneecap;Collarbone;Shinbone;1;B
Which blood type is known as the universal donor?;A;B;O;2;C
What is the medical term for high blood pressure?;Hypotension;Hypertension;Hyperglycemia;2;B
What part of the body is affected by hepatitis?;Heart;Liver;Lungs;1;B
Which hormone regulates blood sugar levels?;Insulin;Adrenaline;Thyroxine;2;A
What is the primary function of red blood cells?;Fight infection;Transport oxygen;Produce hormones;2;B
What is the main component of bones?;Keratin;Collagen;Calcium;2;C
Which disease is known as the "silent killer"?;Diabetes;Hypertension;Osteoporosis;3;B
What is the normal range for human body temperature?;96-98°F;97-99°F;98-100°F;2;C
Which part of the brain controls balance and coordination?;Cerebrum;Cerebellum;Medulla;2;B
What is the term for a substance that triggers an immune response?;Antibody;Antigen;Enzyme;2;B
What is the primary function of the kidneys?;Filter blood;Produce insulin;Regulate temperature;1;A
Which vitamin is essential for blood clotting?;Vitamin A;Vitamin K;Vitamin E;2;B
What is the medical term for a heart attack?;Cardiac arrest;Myocardial infarction;Angina;2;B
Which gland is known as the "master gland"?;Thyroid gland;Adrenal gland;Pituitary gland;2;C
What is the term for inflammation of the joints?;Arthritis;Bursitis;Tendonitis;1;A
What is the primary cause of Type 1 diabetes?;Obesity;Insulin resistance;Autoimmune destruction of insulin-producing cells;3;C
