Question;Option A;Option B;Option C;Difficulty;Correct Answer
Who painted the Mona Lisa?;Vincent van Gogh;Leonardo da Vinci;Pablo Picasso;1;B
Which artist is known for cutting off his own ear?;Claude Monet;Vincent van Gogh;Edgar Degas;1;B
What is the main subject of Edvard Munch's famous painting "The Scream"?;A dancing woman;A crying child;A screaming figure;1;C
Who painted the ceiling of the Sistine Chapel?;Raphael;Michelangelo;Donatello;2;B
In which city is the Louvre Museum located?;London;Rome;Paris;1;C
Which composer wrote the opera "The Magic Flute"?;Ludwig van Beethoven;Wolfgang Amadeus Mozart;Johann Sebastian Bach;2;B
Who is known as the father of modern sculpture?;Auguste Rodin;Henry Moore;Alberto Giacometti;2;A
What is the term for a painting done on wet plaster?;Fresco;Mural;Collage;2;A
Which movement is Salvador Dalí associated with?;Cubism;Surrealism;Impressionism;2;B
Who wrote the play "Romeo and Juliet"?;Christopher Marlowe;William Shakespeare;Ben Jonson;1;B
Which famous ballet features the "Dance of the Sugar Plum Fairy"?;Swan Lake;The Nutcracker;Giselle;1;B
Who painted "Starry Night"?;Claude Monet;Vincent van Gogh;Edvard Munch;1;B
Which artist is known for the Blue and Rose periods?;Pablo Picasso;Georges Braque;Henri Matisse;2;A
What is the name of the art style characterized by light brush strokes and a focus on light and color?;Baroque;Impressionism;Rococo;1;B
Who composed the music for the ballet "Swan Lake"?;Igor Stravinsky;Sergei Prokofiev;Pyotr Ilyich Tchaikovsky;2;C
What type of art is Andy Warhol famous for?;Pop Art;Abstract Expressionism;Minimalism;2;A
Which famous artist was also an inventor and scientist?;Michelangelo;Leonardo da Vinci;Raphael;2;B
What is the primary material used in bronze sculptures?;Copper;Tin;Both Copper and Tin;3;C
Who is the famous female artist known for her self-portraits?;Georgia O'Keeffe;Frida Kahlo;Mary Cassatt;2;B
What is the architectural style of the Notre-Dame Cathedral in Paris?;Baroque;Gothic;Renaissance;2;B
